model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision
AdaBoostClassifier,0.17483935356140137,0.01000213623046875,0.9302184955252761,0.9515688494993626,0.905684918916253,0.9280404878219249,0.9088429973830753
BaggingClassifier,0.07121863365173339,0.003601217269897461,0.9213335483350802,0.9527269707675542,0.8885602647046955,0.9190371877131444,0.9021588893966979
DecisionTreeClassifier,0.008001995086669923,0.0024003982543945312,0.8972506651616545,0.8883045006616161,0.9077246335875466,0.8975477805402617,0.8530158646432714
ExtraTreeClassifier,0.0010005474090576173,0.0020001411437988283,0.8972426025961461,0.8873008083580747,0.9084696535614528,0.8976646708525543,0.8520269453405047
ExtraTreesClassifier,0.09982256889343262,0.010002326965332032,0.9378214947996453,0.9922700421940928,0.8827173479315462,0.9341944128109138,0.9342077040287847
GaussianProcessClassifier,0.11582603454589843,0.005400848388671875,0.922591308554382,0.9485441036813587,0.8958983774283652,0.9212348979996039,0.9020090755952477
GradientBoostingClassifier,0.5047134399414063,0.002800750732421875,0.9302023703942595,0.958201148445051,0.9011364726664605,0.928404710757652,0.912648913806964
KNeighborsClassifier,0.0006003856658935546,0.008601617813110352,0.9289365476094493,0.9689127287166504,0.8879684004286208,0.9264338716878996,0.916042000561702
LinearDiscriminantAnalysis,0.0028008937835693358,0.0026003837585449217,0.90355559138918,0.9681528260830159,0.8359061786846365,0.8969830898733424,0.8917262465506509
LinearSVC,0.011202573776245117,0.0022005081176757813,0.9301943078287511,0.9635700768395932,0.8963013078312956,0.9285120510016378,0.9156068602888414
LogisticRegressionCV,0.6029361248016357,0.0028005599975585937,0.9390792550189471,0.9822321958357685,0.8959953102792759,0.9369294216053916,0.9320163471009033
NuSVC,0.05261197090148926,0.00600123405456543,0.9048456018705153,0.9906515008749495,0.8178671634363189,0.895778038451448,0.9017711856083519
PassiveAggressiveClassifier,0.0008001327514648438,0.0024005889892578123,0.907344997178102,0.9240216567295676,0.8938707681547339,0.906697595258315,0.8775152536378774
Perceptron,0.0014005184173583984,0.0028003692626953126,0.9010642586471015,0.8889039519921713,0.9222970664586331,0.9034942208703711,0.858598447601079
QuadraticDiscriminantAnalysis,0.0022002220153808593,0.002200794219970703,0.9099008304442474,0.9272716327360291,0.8911364726664605,0.9087711270298297,0.8813386869627562
RandomForestClassifier,0.24585537910461425,0.00980224609375,0.9289365476094493,0.9681910986920499,0.8882735461193233,0.9263275997891383,0.9158382467479574
RidgeClassifierCV,0.0038669586181640627,0.002000761032104492,0.9035636539546884,0.9681289563867221,0.8361446998533901,0.8970572398801069,0.8919588153834397
SGDClassifier,0.00200042724609375,0.0020004749298095704,0.9251390792550189,0.9340671153112151,0.915471460404141,0.9244551823605269,0.8969881945223885
SVC,0.025005865097045898,0.0048008918762207035,0.9327420785293882,0.9892813852813853,0.875502082576746,0.9288741231961456,0.9282735555328593
XGBClassifier,0.0458101749420166,0.0058013916015625,0.9352656615335,0.9539719478582664,0.9150899610385534,0.933484186837128,0.9143206707091419
